          10  58% - ...
          10  58%  - pel-profile-indentation-test-of
          10  58%   - call-interactively
          10  58%    - apply
          10  58%     - call-interactively@ido-cr+-record-current-command
          10  58%      - #<primitive-function call-interactively>
          10  58%       - funcall-interactively
          10  58%        - seed7-complete-statement-or-indent
          10  58%         - seed7-indent-region
          10  58%          - seed7--indent-one-line
          10  58%           - seed7-calc-indent
           4  23%            - seed7-comment-column
           4  23%             - seed7-calc-indent
           1   5%              - seed7-line-at-endof-parenthesized-statement
           1   5%               - seed7-move-to-line
           1   5%                - seed7-to-previous-non-empty-line
           1   5%                 - seed7-inside-comment-p
           1   5%                  - syntax-ppss
           1   5%                     parse-partial-sexp
           1   5%              - seed7-line-inside-parens-pair-column
           1   5%               - seed7-line-inside-parens-pair
           1   5%                - seed7-re-search-backward
           1   5%                 - seed7-inside-comment-p
           1   5%                  - syntax-ppss
           1   5%                     parse-partial-sexp
           1   5%              - seed7-line-is-defun-end
           1   5%               - seed7-move-to-line
           1   5%                - seed7-to-previous-non-empty-line
           1   5%                 - seed7-inside-comment-p
           1   5%                  - syntax-ppss
           1   5%                     parse-partial-sexp
           1   5%              - seed7-line-at-endof-set-definition-block
           1   5%               - seed7-move-to-line
           1   5%                - seed7-to-previous-non-empty-line
           1   5%                 - seed7-inside-comment-p
           1   5%                  - syntax-ppss
           1   5%                     parse-partial-sexp
           2  11%            - seed7-line-inside-parens-pair-column
           2  11%             - seed7-line-inside-parens-pair
           2  11%              - seed7-re-search-backward
           1   5%               - seed7-inside-comment-p
           1   5%                - syntax-ppss
           1   5%                   parse-partial-sexp
           1   5%               - run-with-timer
           1   5%                - run-at-time
           1   5%                 - timer-activate
           1   5%                  - timer--activate
           1   5%                     timer--time-less-p
           1   5%            - seed7-line-inside-func-return-statement
           1   5%             - seed7-re-search-backward
           1   5%              - run-with-timer
           1   5%               - run-at-time
           1   5%                - timer-activate
           1   5%                 - timer--activate
           1   5%                    timer--time-less-p
           1   5%            - seed7-line-inside-a-block-cached
           1   5%             - seed7-line-inside-a-block
           1   5%              - seed7-re-search-backward
           1   5%               - seed7-inside-string-p
           1   5%                - syntax-ppss
           1   5%                   parse-partial-sexp
           1   5%            - seed7-line-inside-set-definition-block
           1   5%             - seed7-re-search-backward
           1   5%              - run-with-timer
           1   5%               - run-at-time
           1   5%                - timer-activate
           1   5%                 - timer--activate
           1   5%                    timer--time-less-p
           1   5%            - seed7-line-inside-until-logic-expression
           1   5%             - seed7-re-search-backward
           1   5%              - run-with-timer
           1   5%               - run-at-time
           1   5%                - timer-activate
           1   5%                 - timer--activate
           1   5%                    timer--time-less-p
           7  41%   Automatic GC
