          17  77% - ...
          17  77%  - pel-profile-dir
          17  77%   - pel-profile-indent
          17  77%    - pel-profile-indentation-test-of
          17  77%     - call-interactively
          17  77%      - apply
          17  77%       - call-interactively@ido-cr+-record-current-command
          17  77%        - #<primitive-function call-interactively>
          17  77%         - funcall-interactively
          17  77%          - seed7-complete-statement-or-indent
          17  77%           - seed7-indent-region
          17  77%            - seed7--indent-one-line
          17  77%             - seed7-calc-indent
           8  36%              - seed7-comment-column
           7  31%               - seed7-calc-indent
           3  13%                - seed7-line-inside-parens-pair-column
           3  13%                 - seed7-line-inside-parens-pair
           3  13%                  - seed7-re-search-backward
           3  13%                   - seed7-inside-comment-p
           3  13%                    - syntax-ppss
           3  13%                       parse-partial-sexp
           2   9%                - seed7-line-is-defun-end
           2   9%                 - seed7-move-to-line
           2   9%                  - seed7-to-previous-non-empty-line
           2   9%                   - seed7-inside-comment-p
           2   9%                    - syntax-ppss
           2   9%                       parse-partial-sexp
           1   4%                - seed7-line-at-endof-set-definition-block
           1   4%                 - seed7-move-to-line
           1   4%                  - seed7-to-previous-non-empty-line
           1   4%                   - seed7-inside-comment-p
           1   4%                    - syntax-ppss
           1   4%                       parse-partial-sexp
           1   4%                - seed7-line-at-endof-parenthesized-statement
           1   4%                 - seed7-move-to-line
           1   4%                  - seed7-to-previous-non-empty-line
           1   4%                   - seed7-inside-comment-p
           1   4%                    - syntax-ppss
           1   4%                       parse-partial-sexp
           1   4%               - seed7-line-code-ends-with
           1   4%                - seed7-move-to-line
           1   4%                 - seed7-to-previous-non-empty-line
           1   4%                  - seed7-inside-comment-p
           1   4%                   - syntax-ppss
           1   4%                      parse-partial-sexp
           2   9%              - seed7-current-line-start-inside-comment-p
           2   9%               - seed7-inside-comment-p
           2   9%                - syntax-ppss
           2   9%                   parse-partial-sexp
           2   9%              - seed7-line-inside-a-block-cached
           2   9%               - seed7-line-inside-a-block
           1   4%                - seed7-re-search-backward
           1   4%                 - run-with-timer
           1   4%                  - run-at-time
           1   4%                   - timer-activate
           1   4%                    - timer--activate
           1   4%                       timer--time-less-p
           1   4%                - seed7--safe-enclosing-block-bounds
           1   4%                 - seed7--block-end-pos-for
           1   4%                  - seed7-to-next-line-starts-with
           1   4%                   - seed7-re-search-forward
           1   4%                    - seed7-inside-string-p
           1   4%                     - syntax-ppss
           1   4%                        parse-partial-sexp
           1   4%              - seed7-line-inside-parens-pair-column
           1   4%               - seed7-line-inside-parens-pair
           1   4%                - seed7-re-search-backward
           1   4%                 - run-with-timer
           1   4%                  - run-at-time
           1   4%                   - timer-set-time
           1   4%                      timer--time-setter
           1   4%              - seed7-line-inside-array-definition-block
           1   4%               - seed7-re-search-backward
           1   4%                - run-with-timer
           1   4%                 - run-at-time
           1   4%                  - timer-set-time
           1   4%                     timer--time-setter
           1   4%              - seed7--indent-search-boundary
           1   4%               - seed7--indent-search-boundary-uncached
           1   4%                - syntax-ppss
           1   4%                   parse-partial-sexp
           1   4%              - seed7-line-inside-func-return-statement
           1   4%               - seed7-re-search-backward
           1   4%                - run-with-timer
           1   4%                 - run-at-time
           1   4%                  - timer-activate
           1   4%                   - timer--activate
           1   4%                      timer--time-less-p
           1   4%              - seed7-line-at-endof-array-definition-block
           1   4%               - seed7-line-code-ends-with
           1   4%                - seed7-re-search-backward
           1   4%                 - seed7-inside-string-p
           1   4%                  - syntax-ppss
           1   4%                     parse-partial-sexp
           5  22%   Automatic GC
