          17  77% - ...
          17  77%  - pel-profile-all
          17  77%   - pel-profile-dir
          17  77%    - pel-profile-indent
          17  77%     - pel-profile-indentation-test-of
          17  77%      - call-interactively
          17  77%       - apply
          17  77%        - call-interactively@ido-cr+-record-current-command
          17  77%         - #<primitive-function call-interactively>
          17  77%          - funcall-interactively
          17  77%           - seed7-complete-statement-or-indent
          17  77%            - seed7-indent-region
          17  77%             - seed7--indent-one-line
          17  77%              - seed7-calc-indent
           6  27%               - seed7-line-is-defun-end
           5  22%                - seed7-end-of-defun
           4  18%                 - seed7-top-block-name
           4  18%                  - seed7--to-top
           2   9%                   - run-with-timer
           2   9%                    - run-at-time
           1   4%                     - timer-set-time
           1   4%                        timer--time-setter
           1   4%                     - timer-activate
           1   4%                      - timer--activate
           1   4%                         timer--time-less-p
           2   9%                   - seed7-re-search-backward
           1   4%                    - run-with-timer
           1   4%                     - run-at-time
           1   4%                      - timer-set-time
           1   4%                         timer--time-setter
           1   4%                      re-search-backward
           1   4%                   seed7-re-search-forward
           1   4%                - seed7-line-starts-with-any
           1   4%                   seed7-line-starts-with
           5  22%               - seed7-comment-column
           5  22%                - seed7-calc-indent
           2   9%                 - seed7-line-inside-parens-pair-column
           2   9%                  - seed7-line-inside-parens-pair
           2   9%                   - seed7-re-search-backward
           1   4%                      seed7-inside-comment-p
           1   4%                    - run-with-timer
           1   4%                     - run-at-time
           1   4%                      - timer-activate
           1   4%                       - timer--activate
           1   4%                          timer--time-less-p
           1   4%                 - seed7-line-after-short-func-end
           1   4%                  - seed7-move-to-line
           1   4%                   - seed7-to-previous-non-empty-line
           1   4%                    - seed7-inside-comment-p
           1   4%                     - syntax-ppss
           1   4%                        parse-partial-sexp
           1   4%                 - seed7-line-at-endof-set-definition-block
           1   4%                  - seed7-move-to-line
           1   4%                   - seed7-to-previous-non-empty-line
           1   4%                    - seed7-inside-comment-p
           1   4%                     - syntax-ppss
           1   4%                        parse-partial-sexp
           1   4%                 - seed7-line-at-endof-array-definition-block
           1   4%                  - seed7-move-to-line
           1   4%                   - seed7-to-previous-non-empty-line
           1   4%                    - seed7-inside-comment-p
           1   4%                       syntax-ppss
           5  22%               - seed7-line-inside-a-block-cached
           5  22%                - seed7-line-inside-a-block
           3  13%                 - seed7--safe-enclosing-block-bounds
           3  13%                  - seed7--block-end-pos-for
           3  13%                   - seed7-to-block-forward
           2   9%                    - seed7-end-of-defun
           1   4%                     - seed7-top-block-name
           1   4%                      - seed7--to-top
           1   4%                       - seed7-re-search-backward
           1   4%                        - run-with-timer
           1   4%                         - run-at-time
           1   4%                          - timer-set-time
           1   4%                             timer--time-setter
           1   4%                     - seed7-re-search-forward
           1   4%                      - seed7-inside-comment-p
           1   4%                       - syntax-ppss
           1   4%                          parse-partial-sexp
           1   4%                      seed7-re-search-forward
           1   4%                 - seed7-calc-indent
           1   4%                  - seed7-line-indent-step
           1   4%                   - seed7-move-to-line
           1   4%                    - seed7-to-previous-non-empty-line
           1   4%                     - seed7-inside-comment-p
           1   4%                      - syntax-ppss
           1   4%                         parse-partial-sexp
           1   4%                 - seed7-re-search-backward
           1   4%                  - run-with-timer
           1   4%                   - run-at-time
           1   4%                    - timer-set-time
           1   4%                       timer--time-setter
           1   4%               - seed7-line-inside-parens-pair-column
           1   4%                - seed7-line-inside-parens-pair
           1   4%                 - seed7-re-search-backward
           1   4%                  - run-with-timer
           1   4%                   - run-at-time
           1   4%                    - timer-activate
           1   4%                     - timer--activate
           1   4%                        timer--time-less-p
           5  22%   Automatic GC
